Product Code,Description,Sales Price,Last Cost Price (Std)
Z-TUBE-63,Discontinued,0.00,1.70
Z-TUBE-01,Cardboard Post Tubes 890mm (Ambassador),0.00,0.80
Z-THERMARK-SPRAY,Thermark Spray - Black,0.00,100.00
Z-TAPE-TECH,Technifold Packing Tape - PTD Vinyl Tape 50x66 Blue on White,0.00,6.01
Z-TAPE-MAT/STRIPS,Matrix Strips,0.00,0.00
Z-TAPE-FRAGILE,Fragile Packing Tape - FragilePolypropTape 50x66 L/N (36),0.00,1.10
Z-TAPE-CLEAR,Clear Packing Tape Vibac 400 - (36 per box),0.00,0.73
Z-TAPE-BROWN,Brown Packing Tape - Vibac 831 (36 p/box),0.00,1.00
Z-TAPE-ADH/8X50,8mm x 50m Self-Adhesive Tape for Creasing Matrix,12.00,0.93
Z-TAPE-ADH/4X50,4mm x 50m Self-Adhesive Tape for Creasing Matrix,12.00,0.48
Z-SHRINK-WRAP,Shrink Wrap Roll 20 micron 300m,0.00,5.80
Z-SCRIPTOR-SPRAY,Scriptor Spray - Laser Marking Additive - Black,0.00,54.00
Z-S-FEDEX,Small Pak Fedex Bags - UK only deliveries,0.00,0.00
Z-POLY/FILL,Polystyrene Loosefill Chips,0.00,0.00
Z-MBG,Polythene Mailing Bag 320 x 440mm,0.00,0.00
Z-M-FEDEX,Medium Pak Fedex Bags - UK only deliveries,0.00,0.00
Z-LID-63,Lid to suit 63 ID tube,0.00,0.06
Z-LID-50,Lid to suit 50mm ID tube,0.00,0.09
Z-L-FEDEX,Large Pak Fedex Bags - UK only deliveries,0.00,0.00
Z-JIFFY-XM,Extra Medium Bubble Bag 270 x 360mm White (Size H5),0.00,0.21
Z-JIFFY-XL,Extra Large Bubble Bag 340 x 445mm White (Size 7),0.00,0.35
Z-JIFFY-S,Small Bubble Bag 170 x 245mm (Size 1),0.00,0.07
Z-JIFFY-M,Medium Bubble Bag 240 x 320mm White (Size 4),0.00,0.17
Z-JIFFY-L,Large Bubble Bag 290 x 445mm White (Size 6),0.00,0.31
Z-GRIP/9X12.75,Grip Seal bag 9X12.5,0.00,0.04
Z-GRIP/7.5X7.5,"Grip Seal Bag 7.5 x 7.5"" (Order in 1000s)",0.00,0.01
Z-GRIP/5X7.5,"Grip Seal Bag 5 x 7.5"" - (Order in 1000's)",0.00,0.01
Z-GRIP/4X5.5-WOP,"Grip Seal Bag 4 x 5.5"" - write on panel - (Order in 1000's)",0.00,0.01
Z-GRIP/3.5X4.5,"Grip Seal Bag 3.5 x 4.5"" - (Order in 1000's)",0.00,0.01
Z-GRIP/2.25X3,"Grip Seal Bag 2.25x3"" (Order in 1000's)",0.00,0.01
Z-DVD-CREASING,Creasing Animation DVD,0.00,0.00
Z-CERMARK-SPRAY,Cermark Spray 340g,0.00,88.00
Z-BUBBLE-WRAP,Bubblefilm Roll 750mm x 75m,0.00,10.00
Z-BOX/FOAM,Foam for Tnf Mould packaging Box,0.00,1.02
Z-BOX,Tec-ni-Fold Mould Packaging Box,0.00,1.42
Z-9BOX,Double Wall Boxes 400 x 300 x 280mm,0.00,0.85
Z-6BOX,200 x 180 x 430mm Packing Box,0.00,1.75
Z-5BOX,356 x 222 x 165mm Packing Box,0.00,1.21
Z-500G-RM/SD,500g Royal Mail Silver Bag,0.00,5.05
Z-4BOX,200 x 180 x 290mm Packing Box,0.00,1.06
Z-2KG-RM/SD,2kg Royal Mail Silver Bag,0.00,8.25
Z-2BOX,200 x 180 x 160mm Packing Box,0.00,1.55
Z-20BOX,59 X 40 X 19cm boxes,0.00,3.47
Z-1KG-RM/SD,1kg Royal Mail Silver Bag,0.00,6.40
Z-16BOX-COVER,508 X308 X 184 DFC,0.00,2.35
Z-16BOX,500 x 300 x 170mm R Packing Box,0.00,1.09
WEBCASSETTE-SUPPORTBRACE-620MM,Web cassette support brace for 620mm shaft,0.00,107.44
WEBCASSETTE-KNOB,Web cassette knob,0.00,30.89
WEBCASSETTE-ENDPLATE,End plate for the web cassette,0.00,138.17
WEBCASSETTE-COVERPLATE,Web cassette cover plate,0.00,29.26
WEBCASSETTE-CALLIPER,Web cassette calliper,0.00,31.52
WEBCASSETTE-BASEPLATE-620MM,Web cassette base plate for 620mm shaft,0.00,296.95
WEBCASSETTE-BASEPLATE,Web cassette base plate for 620mm,0.00,296.95
WEBCASSETTE-ADJUSTERBLOCK,Web cassette adjuster block,0.00,36.88
WEB-ETM/HOLDER,Web Holder Arm,984.00,750.00
UCHIDA-29/01,Uchida Tri-Creaser Fast Fit Starter Package,2280.00,613.44
UC-GB/29-FP,Uchida Gripper Boss Support Rollers,170.00,110.14
TWS-ID/MBO45.5,WRONG CODE - DO NOT USE,42.00,0.00
TWS-ID/MBO45.4,WRONG CODE - DO NOT USE,42.00,0.00
TWS-ID/MBO45.3,WRONG CODE - DO NOT USE,42.00,0.00
TWS-ID/MBO30-5,Waste Stripper - 5mm Width - 30mm Inside Diameter,42.00,5.00
TWS-ID/MBO30-4,Waste Stripper - 4mm Width - 30mm Inside Diameter,42.00,5.00
TWS-ID/MBO30-3,Waste Stripper - 3mm Width - 30mm Inside Diameter,42.00,5.00
TWS-ID/MBO-40.5,Waste Stripper - 5mm Width - 40mm Inside Diameter,42.00,0.00
TWS-ID/MBO-40.4,Waste Stripper - 4mm Width - 40mm Inside Diameter,42.00,0.00
TWS-ID/MBO-40.3,Waste Stripper - 3mm Width - 40mm Inside Diameter,42.00,5.00
TWS-ID/MBO-35.5,35mm MBO Waste Stripper-5mm Thick,42.00,5.00
TWS-ID/MBO-35.4,35mm MBO Waste Stripper-4mm Thick,42.00,5.00
TWS-ID/MBO-35.3,35mm MBO Waste Stripper-3mm Thick,42.00,5.00
TWS-ID/MBO-35-5,35mm MBO Waste Stripper 5mm Thick Short Version,42.00,0.00
TWS-ID/MBO-35-3,35mm MBO Waste Stripper 3mm Thick Short Version,42.00,5.00
TWS-ID/MBO-30.5-SHORT,Waste Stripper MBO 30mm I/D 5mm Width Short Version,42.00,0.00
TWS-ID/MB-5,Waste Stripper - 5mm Width - 20mm Inside Diameter,42.00,5.00
TWS-ID/MB-4,Waste Stripper - 4mm Width - 20mm Inside Diameter,42.00,5.00
