Manufacturer,Stock Code,Shaft Size,Outer Diameter,Compatible On,,,,,
Agor,CP-AP-QC/36-FP,36mm,58mm,,,,,,
Agor,EF-AG/28-FP,28mm,37.8mm,,,,,,
Agor,QC-GB-01,36mm,58mm,,,,,,
Agor,FF-36-FIX,36mm,58mm,,,,,,
Agor,FF-36-FP,36mm,58mm,,,,,,
Agor,PD-DEL-QC/36-FP,36mm,58mm,,,,,,
Agor,SHC-ADJ/03-FP,36mm,58mm,,,,,,
Agor,SHC-STA-ADJ/03-FP,36mm,58mm,,,,,,
Agor,MT-01 AGOR OPTION 1,36mm Exit Shaft,58mm,N/A,,,,,
Agor,MT-AGOR/CUTTING-OPTION-2,36mm Exit Shaft,58mm,N/A,,,,,
Agor,MT-01/COMBO 01,36mm Exit Shaft,58mm,N/A,,,,,
Agor,MT-01 (Agor),36mm Exit Shaft,58mm,N/A,,,,,
Agor,MT-CR/36-CAS,36mm Exit Shaft,58mm,N/A,,,,,
Agor,FF-36-DSF-SV,36mm Exit Shaft,58mm,N/A,,,,,
Bacciottini,EF-BAC-FP,59.5mm,94.5mm,,,,,,
Baumfolder,CP-AP-BF/22-FP,"22.24mm/7/8""","45mm/1¾""",,,,,,
Baumfolder,CP-AP-BF/28-FP,"28.58mm/1⅛""","55.87mm/2⅕""",,,,,,
Baumfolder,EF-BF/22-FP,"22.24mm/⅞""","45mm/1¾""",,,,,,
Baumfolder,EF-BF/28-FP,"28.58mm/1⅛""","55.87mm/2⅕""",,,,,,
Baumfolder,GB-BF/22,"22.24mm / ⅞""","45mm / 1¾""",,,,,,
Baumfolder,FF-BF/22-ECO,"22.24mm / ⅞""","45mm / 1¾""",,,,,,
Baumfolder,FF-BF/22-FP,"22.24mm / ⅞""","45mm / 1¾""",,,,,,
Baumfolder,FF-BF/22-FP-01,"22.24mm / ⅞""","45mm / 1¾""",,,,,,
Baumfolder,FF-BF/28-FP,"28.58mm / 1⅛""","55.87mm / 2 1/5""",,,,,,
Baumfolder,FF-BF/28-FP-01,"28.58mm / 1⅛""","55.87mm / 2 1/5""",,,,,,
Baumfolder,PD-DEL-BF/22-FP,"22.24mm / ⅞""","45mm / 1¾""",,,,,,
Baumfolder,PD-DEL-BF/28-FP,"28.58mm / 1 ⅛""","55.87mm / 2 1/5""",,,,,,
Baumfolder,MT-BF/28 OPTION 1,"28.58mm / 1⅛"" Exit Shaft","55.87mm / 2 1/5""",N/A,,,,,
Baumfolder,MT-BF/28/CUTTING-OPTION-2,"28.58mm / 1⅛"" Exit Shaft","55.87mm / 2 1/5""",N/A,,,,,
Baumfolder,MT-BF/COMBO-28-01,"28.58mm / 1⅛"" Exit Shaft","55.87mm/2 1/5""",N/A,,,,,
Baumfolder,MT-BF/COMBO-28,"28.58mm/1⅛"" Exit Shaft","55.87mm/2 1/5""",N/A,,,,,
Baumfolder,MT-BF/28,"28.58mm / 1⅛"" Exit Shaft","55.87mm / 2 1/5""",N/A,,,,,
Dick Moll,EF-DM/30-FP,29.62mm,50.29mm male/51.38mm female,,,,,,
Dick Moll,FF-DM-FIX-01,29.62mm,"2""/50.8mm",,,,,,
Dick Moll,FF-DM-FP-01,29.62mm,"2""/50.8mm",,,,,,
Dick Moll,PD-DEL-DM/30-FP,29.62mm,"2""/50.8mm",,,,,,
Dick Moll,FF-DM-DSF,29.62mm Exit Shaft,"2""/50.8mm",N/A,,,,,
Dick Moll,FF-DM-DSF-01-B,29.62mm Exit Shaft,"2""/50.8mm",N/A,,,,,
Duplo,FF-DU/DSF-FP-01,N/A,Male: 29.80mm / Female: 19.59mm,,,,,,
Duplo,FF-DU/DSF-FP-04,N/A,N/A,,,,,,
Duplo,SC-DU-01,26mm,58.45mm,Duplo iSaddle Cover Feeder,,,,,
Duplo,SC-DU-02,26mm,58.45mm,Duplo iSaddle Cover Feeder,,,,,
EconoCrease/Kluge,FF-EC-FP,"31.78mm / 1¼""","Male: 49.92mm / 1.9655"" / Female: 51.52mm / 2.0280""",,,,,,
Fidia,EF-FI/45-FP,45mm,64mm,,,,,,
Fidia,TC-DEL-FI/40-FP,40mm,60mm,,,,,,
Fidia,TC-DEL-FI/64-FP,64mm,92mm,,,,,,
Ga-Vehren,TC-DEL-GA/01-FP,"25.41mm/1""","50.62mm/2""",,,,,,
Ga-Vehren,FF-GA/01-FP-01,"25.41mm / 1""","50.24mm / 2""",,,,,,
Graphic Wizard,FF-GW-FP-01-B,Top: 4.74mm / Bottom: 19.05mm,Top: 30.00mm / Bottom: 31.74mm,,,,,,
GUK,CP-AP-HH/35-FP,35mm,58.25mm,,,,,,
GUK,CP-AP-SM/35-FP-GUK,35mm,59.4mm,,,,,,
GUK,EF-GU/35-FIX,35mm,59.4mm,,,,,,
