product_code,standard_price,show_in_distributor_portal
CSM/BELT-30X2-6,158.12,TRUE
MOULD-10A,11,TRUE
MOULD-32,11,TRUE
CSM/25-CB-ST,90,TRUE
CB-02,90,TRUE
CB-01,90,TRUE
CB-25-01,90,TRUE
CB-30-01,90,TRUE
CB-GUK-01,90,TRUE
CB-HH-30,90,TRUE
CB-HH-01,90,TRUE
CB-HH-02,90,TRUE
CB-HO-01,90,TRUE
CB-HO-02,90,TRUE
CB-BF/28-01,90,TRUE
CB-MB-01,90,TRUE
CB-MF/40-01,90,TRUE
CB-SH/55-01,90,TRUE
CB-SH/65-01,90,TRUE
CK-MB-O1,50,TRUE
CK-25-01,50,TRUE
CK-HH/30-1,50,TRUE
CK-30-01,50,TRUE
CK-SH/55-01,50,TRUE
CK-BF/28-01,50,TRUE
CK-01(62.5MM),50,TRUE
CK-MF/40-01,50,TRUE
CK-GUK-01,50,TRUE
CK-SH/65-01,50,TRUE
CK-HH/45-01,50,TRUE
CK-HH/25-01,50,TRUE
CK-HH/25-03,50,TRUE
CK-02-V-STYLE,50,TRUE
CK-30-02,50,TRUE
CK-BF/28-02,50,TRUE
CK-25-02,50,TRUE
CK-BF/22-02,50,TRUE
CK-HH/30-2,50,TRUE
CK-02,50,TRUE
CK-MB-02,50,TRUE
CK-GUK-02,50,TRUE
CK-MB-03,50,TRUE
CK-25-03,50,TRUE
CK-HH/30-3,50,TRUE
CK-30-03,50,TRUE
CK-BF/28-03,50,TRUE
CK-SH/55-02,50,TRUE
CK-03,50,TRUE
CK-MF/40-03,50,TRUE
CK-GUK-03,50,TRUE
CK-SH/65-02,50,TRUE
CK-HH/45-02,50,TRUE
CK-01,50,TRUE
FF-DSF/20-MB-NY-R,27.81,TRUE
FF-DSF/20-MB-NY-Y,27.81,TRUE
FF-DSF/20-MB-NY-W,27.81,TRUE
FF-DSF/20-MB-NY-B,27.81,TRUE
FF-DSF/PET-40-NY-Y,27.81,TRUE
FF-DSF/PET-40-NY-B,27.81,TRUE
FF-DSF/PET-40-NY-R,27.81,TRUE
SC-DSF/HOR-25-NY-B,27.81,TRUE
SC-DSF/HOR-25-NY-R,27.81,TRUE
SC-DSF/HOR-25-NY-Y,27.81,TRUE
FF-DSF/ROS-NY-B,27.81,TRUE
FF-DSF/BF-28-NY-B,27.81,TRUE
FF-DSF/DU-02-NY-B,27.81,TRUE
FF-DSF/BF-28-NY-O,27.81,TRUE
FF-DSF/ROS-NY-O,27.81,TRUE
FF-DSF/DU-02-NY-Y,27.81,TRUE
FF-DSF/DU-02-NY-R,27.81,TRUE
FF-DSF/ROS-NY-Y,27.81,TRUE
FF-DSF/BF-28-NY-Y,27.81,TRUE
