Product Code,Description,Type,Category,Old Customer Price (£),New Customer Price (£),Price Change (£),Price Change (%)
MOULD-10A,25/30mm Thin Gripper Band/Blade Seal - 40mm O/D - Light Bake,consumable,Blade Seal,19.00,21.00,2.00,10.5
MOULD-32,Blade Seal,consumable,Blade Seal,19.00,21.00,2.00,10.5
CB-01,Cutting Boss - 36 mm,consumable,Cutting Boss,108.00,141.67,33.67,31.2
CB-02,Cutting Boss - 35 mm,consumable,Cutting Boss,108.00,141.67,33.67,31.2
CB-25-01,Cutting Boss 25 mm,consumable,Cutting Boss,108.00,141.67,33.67,31.2
CB-30-01,Cutting Boss 30 mm,consumable,Cutting Boss,108.00,141.67,33.67,31.2
CB-BF/28-01,Cutting Boss Large Baum,consumable,Cutting Boss,108.00,141.67,33.67,31.2
CB-GUK-01,Cutting Boss GUK,consumable,Cutting Boss,108.00,141.67,33.67,31.2
CB-HH-01,Cutting Boss Herzog & Heymann - 35mm,consumable,Cutting Boss,108.00,141.67,33.67,31.2
CB-HH-02,Cutting Boss Herzog & Heymann - 45mm I/D,consumable,Cutting Boss,108.00,141.67,33.67,31.2
CB-HH-30,Cutting Boss Herzog & Heymann - 30 mm,consumable,Cutting Boss,108.00,141.67,33.67,31.2
CB-HO-01,Cutting Boss Horizon,consumable,Cutting Boss,108.00,141.67,33.67,31.2
CB-MB-01,Cutting Boss MB,consumable,Cutting Boss,108.00,141.67,33.67,31.2
CB-MF/40-01,Cutting Boss MBO 40mm,consumable,Cutting Boss,108.00,141.67,33.67,31.2
CB-SH/55-01,Cutting Boss Shoei 55mm,consumable,Cutting Boss,108.00,141.67,33.67,31.2
CB-SH/65-01,Cutting Boss Shoei 65mm,consumable,Cutting Boss,108.00,141.67,33.67,31.2
CK-01,Old Style 60.67mm O/D Cutting Knives,consumable,Cutting Knife,42.00,99.00,57.00,135.7
CK-01(62.5MM),Cutting Knife - 62.5mm Outer Diameter,consumable,Cutting Knife,42.00,99.00,57.00,135.7
CK-02,Kiss-Cutting Knife,consumable,Cutting Knife,42.00,99.00,57.00,135.7
CK-02-V-STYLE,Double Bevelled Kiss-Cutting Knife,consumable,Cutting Knife,45.00,99.00,54.00,120.0
CK-03,Long Cutting Knife - 64mm Outer Diameter,consumable,Cutting Knife,45.00,99.00,54.00,120.0
CK-25-01,Cutting Knife - 47.5mm Outer Diameter,consumable,Cutting Knife,42.00,99.00,57.00,135.7
CK-25-02,Kiss-Cutting Knife,consumable,Cutting Knife,42.00,99.00,57.00,135.7
CK-25-03,Long Cutting Knife - 50mm Outer Diameter,consumable,Cutting Knife,45.00,99.00,54.00,120.0
CK-30-01,Cutting Knife - 52.85mm Outer Diameter,consumable,Cutting Knife,42.00,99.00,57.00,135.7
CK-30-02,Kiss-Cutting Knife,consumable,Cutting Knife,42.00,99.00,57.00,135.7
CK-30-03,Long Cutting Knife - 56mm Outer Diameter,consumable,Cutting Knife,45.00,99.00,54.00,120.0
CK-BF/22-02,Kiss-Cutting Knife,consumable,Cutting Knife,42.00,99.00,57.00,135.7
CK-BF/28-01,Cutting Knife - 60.15mm Outer Diameter,consumable,Cutting Knife,42.00,99.00,57.00,135.7
CK-BF/28-02,Kiss-Cutting Knife,consumable,Cutting Knife,42.00,99.00,57.00,135.7
CK-BF/28-03,Long Cutting Knife - 61.65mm Outer Diameter,consumable,Cutting Knife,45.00,99.00,54.00,120.0
CK-GUK-01,Cutting Knife - 63mm Outer Diameter,consumable,Cutting Knife,42.00,99.00,57.00,135.7
CK-GUK-02,Kiss-Cutting Knife,consumable,Cutting Knife,42.00,99.00,57.00,135.7
CK-GUK-03,Long Cutting Knife - 65.3mm Outer Diameter,consumable,Cutting Knife,45.00,99.00,54.00,120.0
CK-HH/25-01,Cutting Knife 40m O/D,consumable,Cutting Knife,42.00,99.00,57.00,135.7
CK-HH/30-1,Cutting Knife - 48.85mm Outer Diameter,consumable,Cutting Knife,42.00,99.00,57.00,135.7
CK-HH/30-2,Kiss-Cutting Knife,consumable,Cutting Knife,42.00,99.00,57.00,135.7
CK-HH/30-3,Long Cutting Knife - 52mm Outer Diameter,consumable,Cutting Knife,45.00,99.00,54.00,120.0
CK-HH/45-01,Cutting Knife - 72mm Outer Diameter,consumable,Cutting Knife,51.00,99.00,48.00,94.1
CK-HH/45-02,Long Cutting Knife - 73.5mm Outer Diameter,consumable,Cutting Knife,54.00,99.00,45.00,83.3
CK-MB-02,Kiss-Cutting Knife,consumable,Cutting Knife,42.00,99.00,57.00,135.7
CK-MB-03,Long Cutting Knife - 45.5mm Outer Diameter,consumable,Cutting Knife,45.00,99.00,54.00,120.0
CK-MB-O1,Cutting Knife - 43.5mm Outer Diameter,consumable,Cutting Knife,42.00,99.00,57.00,135.7
CK-MF/40-01,Cutting Knife - 62.5mm Outer Diameter,consumable,Cutting Knife,42.00,99.00,57.00,135.7
CK-MF/40-03,Long Cutting Knife - 64mm Outer Diameter,consumable,Cutting Knife,45.00,99.00,54.00,120.0
CK-SH/55-01,Cutting Knife - 59.5mm Outer Diameter,consumable,Cutting Knife,42.00,99.00,57.00,135.7
CK-SH/55-02,Long Cutting Knife - 61mm Outer Diameter,consumable,Cutting Knife,45.00,99.00,54.00,120.0
