product_code,cost_price,,
0.1MM/SHIM-SPACER,0.09,,
0.5MM/SHIM-SPACER,0.23,,
100MM-BLACK-ACETAL,11.71,,
10MMX14-SCREWS,3.01,,
2.5MM-ALL-TOOL,0.15,,
25MM-HO-SPRING,0.73,,
2MM-HEX-TOOL,0.90,,
317-SS,98.67,,
317-SS-BLACK,10.66,,
317-SS-BLUE,10.84,,
317-SS-ORANGE,10.66,,
317-SS-WHITE,11.06,,
317-SS-YELLOW,10.80,,
3MM-HEX-TOOL,2.93,,
3MM-L-WRE,0.88,,
3MMX5MM-SREWS,0.06,,
4MM-ALL-TOOL,0.20,,
4MM-HEX-TOOL,3.77,,
4MMX5,0.50,,
503700400,1.70,,
50MM-BOLT,0.19,,
5MM-HEX-TOOL,2.78,,
5MM-L-WRE-BALL,1.42,,
5MM-LO/HEX-WRE,0.59,,
5MMX10-SCREWS,0.09,,
5MMX35-SCREWS,0.11,,
6004-2RS-SKF,3.17,,
61705-ZZ,2.25,,
61805-ZZ,0.62,,
61807-ZZ,1.10,,
624-SS,105.52,,
6805-ZZ,0.62,,
6807-ZZ,1.10,,
6808-ZZ,1.14,,
693-FF,10.38,,
6MM-SCREWS,0.51,,
6MMX36-SCREWS,1.00,,
6MMX6.5SCREWS,0.64,,
6MMX8-SCREWS,1.29,,
6X25SCREWS,0.23,,
70MM-BLACK-ACETAL,5.74,,
70MM-BLUE-ACETAL,7.74,,
790-PH,107.14,,
790-SS,107.14,,
790-SS-BLUE,10.84,,
790-SS-ORANGE,10.66,,
790-SS-WHITE,11.06,,
790-SS-YELLOW,10.80,,
80MM-BLUE-ACETAL,10.53,,
8MMX6-SCREWS,1.47,,
8TORX-TOOL,1.26,,
90MM-BLACK-ACETAL,9.90,,
999-SS-BLUE,10.84,,
999-SS-ORANGE,10.66,,
999-SS-WHITE,11.06,,
999-SS-YELLOW,10.80,,
C-SPAN68.75,11.00,,
CB-01,17.12,,
CB-02,22.78,,
CB-02/CD,27.30,,
CB-25-01,18.85,,
CB-30-01,17.07,,
CB-BF/28-01,20.20,,
CB-GUK-01,17.82,,
CB-HH-01,32.98,,
CB-HH-02,68.75,,
CB-HH-25,47.00,,
CB-HH-30,23.45,,
CB-HH-40,23.98,,
CB-HO-01,15.50,,
CB-MB-01,15.18,,
CB-MF/40-01,19.50,,
CB-SH/55-01,20.05,,
CB-SH/65-01,23.05,,
CC-MU-01-A,109.06,,
CC-MU-01-BOLT,0.06,,
CC-MU-01-WASH,0.23,,
CC-MU-GC,2.80,,
CK-01,12.50,,
CK-01(62.5MM),13.10,,
CK-02,7.82,,
CK-02-V-STYLE,7.48,,
CK-03,12.75,,
CK-25-01,11.88,,
CK-25-02,7.60,,
CK-25-03,11.26,,
CK-30-01,11.48,,
CK-30-02,7.72,,
CK-30-03,19.98,,
CK-BF/22-02,8.42,,
CK-BF/28-01,8.42,,
CK-BF/28-03,8.42,,
CK-GUK-01,19.98,,
CK-GUK-02,8.55,,
CK-GUK-03,9.75,,
CK-HH/25-01,23.50,,
CK-HH/25-03,28.75,,
CK-HH/30-1,8.55,,
CK-HH/30-2,8.55,,
CK-HH/30-3,20.75,,
CK-HH/45-01,14.00,,
CK-HH/45-02,14.00,,
CK-MB-02,8.25,,
CK-MB-03,9.75,,
CK-MB-O1,8.98,,
CK-MF/40-01,26.98,,
CK-MF/40-03,26.98,,
CK-SH/55-01,8.55,,
CK-SH/55-02,8.55,,
CK-SH/65-01,9.75,,
CK-SH/65-02,9.95,,
COLLAR-EF-25,10.00,,
COLLAR-EF-25-SP,10.00,,
COLLAR-EF-30-SP,10.00,,
COLLAR-EF-35,10.00,,
COLLAR-EF-35-SP,10.00,,
COLLAR-EF-BF/28,14.65,,
COLLAR-EF-ROS,5.91,,
COLLAR-FF-25,10.00,,
COLLAR-FF-30,16.45,,
COLLAR-FF-35,18.81,,
