Product Code,Description,Type,Category,,Old Sales Price,New Sales Price,Difference,Percentage Difference, ,  ,Old Distributor Price,New Distributor Price,Difference ,Percentage Difference 
SH-GB/15-FP-GRIP,Gripper Boss Support Rollers to fit Morgana - Top Rollers On,tool,Gripper Boss,,36,126.67,90.67,251.9,,,34,76,42,123.5
MOULD-97,Tri-Creaser Easy Fit Orange Gripper Crease,consumable,Rubber Creasing Band,,19,26,7,36.8,,,7.11,15.6,8.49,119.4
MOULD-79,Tri-Creaser Easy Fit Orange Gripper Crease,consumable,Rubber Creasing Band,,19,26,7,36.8,,,7.11,15.6,8.49,119.4
MOULD-78,Tri-Creaser Easy Fit Blue Gripper Crease,consumable,Rubber Creasing Band,,19,26,7,36.8,,,7.11,15.6,8.49,119.4
MOULD-77,Tri-Creaser Easy Fit Yellow Gripper Crease,consumable,Rubber Creasing Band,,19,26,7,36.8,,,7.11,15.6,8.49,119.4
MOULD-75,Tri-Creaser Easy Fit Orange Gripper Crease,consumable,Rubber Creasing Band,,19,26,7,36.8,,,7.11,15.6,8.49,119.4
MOULD-74,Tri-Creaser Easy Fit Blue Gripper Crease,consumable,Rubber Creasing Band,,19,26,7,36.8,,,7.11,15.6,8.49,119.4
MOULD-73,Tri-Creaser Easy Fit Yellow Gripper Crease,consumable,Rubber Creasing Band,,19,26,7,36.8,,,7.11,15.6,8.49,119.4
MOULD-71,Tri-Creaser Easy Fit Black Gripper Crease,consumable,Rubber Creasing Band,,19,26,7,36.8,,,7.11,15.6,8.49,119.4
MOULD-58,Tri-Creaser Easy Fit Orange Gripper Crease,consumable,Rubber Creasing Band,,19,26,7,36.8,,,7.11,15.6,8.49,119.4
MOULD-57,Tri-Creaser Easy Fit Blue Gripper Crease,consumable,Rubber Creasing Band,,19,26,7,36.8,,,7.11,15.6,8.49,119.4
MOULD-56,Tri-Creaser Easy Fit Yellow Gripper Crease,consumable,Rubber Creasing Band,,19,26,7,36.8,,,7.11,15.6,8.49,119.4
