Product Code,Description,Sales Price,Cost Price,Type,Category,Margin %,Gina Pricing,Gina %,Uwe Pricing,Uwe %,New Distributor Price,New Distributor Price %,Last Order Date
CSM/BELT-30X2-6,CSM - Rubber Belt 30x2-650 A/F and Q/F,158.12,65.34,consumable,Belt,58.7,,,,,,,13/01/2026
MOULD-32,Blade Seal,19,1.07,consumable,Blade Seal,94.4,7.58,39.9,,,11.40,60.0,05/02/2025
MOULD-10A,25/30mm Thin Gripper Band/Blade Seal - 40mm O/D - Light Bake,19,0.97,consumable,Blade Seal,94.9,7.58,39.9,,,11.40,60.0,01/07/2024
CB-SH/65-01,Cutting Boss Shoei 65mm,108,23.05,consumable,Cutting Boss,78.7,85,78.7,,,85.00,78.7,28/09/2023
CB-SH/55-01,Cutting Boss Shoei 55mm,108,20.05,consumable,Cutting Boss,81.4,85,78.7,,,85.00,78.7,25/03/2010
CB-MF/40-01,Cutting Boss MBO 40mm,108,19.5,consumable,Cutting Boss,81.9,85,78.7,,,85.00,78.7,05/11/2024
CB-MB-01,Cutting Boss MB,108,15.18,consumable,Cutting Boss,85.9,85,78.7,,,85.00,78.7,20/09/2024
CB-HO-01,Cutting Boss Horizon,108,15.5,consumable,Cutting Boss,85.6,85,78.7,,,85.00,78.7,03/09/2021
CB-HH-40,Cutting Boss H&H 40m,108,23.98,consumable,Cutting Boss,77.8,85,78.7,,,85.00,78.7,
CB-HH-30,Cutting Boss Herzog & Heymann - 30 mm,108,23.45,consumable,Cutting Boss,78.3,85,78.7,,,85.00,78.7,13/10/2025
CB-HH-02,Cutting Boss Herzog & Heymann - 45mm I/D,108,68.75,consumable,Cutting Boss,36.3,85,78.7,,,85.00,78.7,05/10/2017
CB-HH-01,Cutting Boss Herzog & Heymann - 35mm,108,32.98,consumable,Cutting Boss,69.5,85,78.7,,,85.00,78.7,30/10/2024
CB-GUK-01,Cutting Boss GUK,108,17.82,consumable,Cutting Boss,83.5,85,78.7,,,85.00,78.7,30/04/2025
CB-BF/28-01,Cutting Boss Large Baum,108,20.2,consumable,Cutting Boss,81.3,85,78.7,,,85.00,78.7,26/09/2014
CB-30-01,Cutting Boss 30 mm,108,17.07,consumable,Cutting Boss,84.2,85,78.7,,,85.00,78.7,21/08/2024
CB-25-01,Cutting Boss 25 mm,108,18.85,consumable,Cutting Boss,82.5,85,78.7,,,85.00,78.7,03/10/2025
CB-02,Cutting Boss - 35 mm,108,22.78,consumable,Cutting Boss,78.9,85,78.7,,,85.00,78.7,04/08/2025
CB-01,Cutting Boss - 36 mm,108,17.12,consumable,Cutting Boss,84.1,85,78.7,,,85.00,78.7,02/10/2024
CB-02/CD,Narrow Cutting Boss for CD & DVD inlays 35mm shaft,118,27.3,consumable,Cutting Boss,76.9,98,83.1,,,98.00,83.1,
CSM/25-CB-ST,25mm Cutting Boss Streamlined 11.50mm version. T style Anvil,76,31.4,consumable,Cutting Boss,58.7,,,,,,,26/07/2018
CSM/25-CB-BCC,Cutting Boss 25mm for Business Card Cutting,0,12.25,consumable,Cutting Boss,,,,,,,,
CB-HO-02,Cutting Boss Horizon - US CD Perf & Slitting,108,16.32,consumable,Cutting Boss,84.9,,,,,,,26/09/2007
CB-HH-25,Cutting Boss H&H 25m I/D,108,47,consumable,Cutting Boss,56.5,,,,,,,
