Product Code,Description,Sales Price,Cost Price,Type,Category,Margin %,Gina Pricing,Gina %,Uwe Pricing,Uwe %,New Distributor Price,New Distributor Price %,Price Difference,Last Order Date
Z-TAPE-ADH/8X50,8mm x 50m Self-Adhesive Tape for Creasing Matrix,12,0.93,consumable,,92.3,8.12,67.7,8.12,67.7,8.12,67.7,0.00,29/08/2024
Z-TAPE-ADH/4X50,4mm x 50m Self-Adhesive Tape for Creasing Matrix,12,0.48,consumable,,96.0,8.12,67.7,8.12,67.7,8.12,67.7,0.00,28/07/2025
UCHIDA-29/01,Uchida Tri-Creaser Fast Fit Starter Package,2280,613.44,tool,Fast-Fit Tri-Creaser,73.1,2290,100.4,2290,100.4,2290.00,100.4,0.00,22/01/2010
UC-GB/29-FP,Uchida Gripper Boss Support Rollers,170,110.14,consumable,NEGLECTED,35.2,76,44.7,76,44.7,102.00,60.0,26.00,
TWS-ID/MBO30-5,Waste Stripper - 5mm Width - 30mm Inside Diameter,42,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,4.90,20/11/2024
TWS-ID/MBO30-4,Waste Stripper - 4mm Width - 30mm Inside Diameter,42,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,4.90,27/07/2022
TWS-ID/MBO30-3,Waste Stripper - 3mm Width - 30mm Inside Diameter,42,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,4.90,25/03/2024
TWS-ID/MBO-40.5,Waste Stripper - 5mm Width - 40mm Inside Diameter,42,0,consumable,Waste-Stripper,,20.3,48.3,20.3,48.3,25.20,60.0,4.90,19/05/2025
TWS-ID/MBO-40.4,Waste Stripper - 4mm Width - 40mm Inside Diameter,42,0,consumable,Waste-Stripper,,20.3,48.3,20.3,48.3,25.20,60.0,4.90,11/03/2024
TWS-ID/MBO-40.3,Waste Stripper - 3mm Width - 40mm Inside Diameter,42,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,4.90,11/03/2024
TWS-ID/MBO-35.3,35mm MBO Waste Stripper-3mm Thick,42,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,4.90,09/10/2023
TWS-ID/MB-5,Waste Stripper - 5mm Width - 20mm Inside Diameter,42,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,4.90,11/03/2022
TWS-ID/MB-4,Waste Stripper - 4mm Width - 20mm Inside Diameter,42,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,4.90,14/08/2012
TWS-ID/MB-3,Waste Stripper - 3mm Width - 20mm Inside Diameter,42,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,4.90,30/09/2024
TWS-ID/HO30.5,30mm Horizon Waste Stripper,42,0,consumable,Waste-Stripper,,20.3,48.3,20.3,48.3,25.20,60.0,4.90,13/06/2025
TWS-ID/HO20-5,Waste Stripper - 5mm Width - 20mm Inside Diameter,42,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,4.90,12/01/2024
TWS-ID/HO20-4,Waste Stripper - 4mm Width - 20mm Inside Diameter,42,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,4.90,26/02/2013
TWS-ID/HO20-3,Waste Stripper - 3mm Width - 20mm Inside Diameter,42,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,4.90,26/02/2013
TWS-ID/HH45.5,Waste Stripper - 5mm Width - 45mm Inside Diameter,42,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,4.90,
TWS-ID/HH45.4,Waste Stripper - 4mm Width - 45mm Inside Diameter,42,9.75,consumable,Waste-Stripper,76.8,20.3,48.3,20.3,48.3,25.20,60.0,4.90,
TWS-ID/HH45.3,Waste Stripper - 3mm Width - 45mm Inside Diameter,42,9.75,consumable,Waste-Stripper,76.8,20.3,48.3,20.3,48.3,25.20,60.0,4.90,03/11/2021
TWS-ID/HH30.5,Waste Stripper - 5mm Width - 30mm Inside Diameter,42,6,consumable,Waste-Stripper,85.7,20.3,48.3,20.3,48.3,25.20,60.0,4.90,30/07/2021
TWS-ID/HH30.4,Waste Stripper - 4mm Width - 30mm Inside Diameter,42,0,consumable,Waste-Stripper,,20.3,48.3,20.3,48.3,25.20,60.0,4.90,04/04/2025
TWS-ID/HH30.3,Waste Stripper - 3mm Width - 30mm Inside Diameter,42,6,consumable,Waste-Stripper,85.7,20.3,48.3,20.3,48.3,25.20,60.0,4.90,11/07/2017
TWS-ID/GUK35-CREASER-5,GUK Creaser 35mm Waste Stripper - 5mm Thick,42,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,4.90,26/01/2012
TWS-ID/GUK35-CREASER-4,GUK Creaser 35mm Waste Stripper - 4mm Thick,42,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,4.90,
TWS-ID/GUK35-CREASER-3,GUK Creaser 35mm Waste Stripper - 3mm Thick,42,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,4.90,29/04/2014
TWS-ID/GUK35-5,Waste Stripper - 5mm Width - 35mm Inside Diameter,42,20,consumable,Waste-Stripper,52.4,20.3,48.3,20.3,48.3,25.20,60.0,4.90,13/05/2016
TWS-ID/GUK35-4,Waste Stripper - 4mm Width - 35mm Inside Diameter,42,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,4.90,24/06/2009
TWS-ID/GUK35-3,Waste Stripper - 3mm Width - 35mm Inside Diameter,42,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,4.90,19/12/2019
TWS-ID/GUK35-1,Waste Stripper - 1mm Width - 35mm Inside Diameter,42,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,4.90,23/08/2021
TWS-ID/GUK20-5,20mm GUK Waste Stripper - 5mm Thick,42,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,4.90,
TWS-ID/GUK20-4,20mm GUK Waste Stripper - 4mm Thick,42,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,4.90,
TWS-ID/GUK20-3,20mm GUK Waste Stripper - 3mm Thick,42,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,4.90,
TWS-ID/DCM-5,Waste Stripper - 5mm Width - 36mm Inside Diameter,42,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,4.90,26/01/2012
TWS-ID/DCM-4,Waste Stripper - 4mm Width - 36mm Inside Diameter,42,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,4.90,10/05/2007
TWS-ID/DCM-3,Waste Stripper - 3mm Width - 36mm Inside Diameter,42,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,4.90,
TWS-ID/AGOR-5,Agor Waste Stripper 5mm,42,1.5,consumable,Waste-Stripper,96.4,20.3,48.3,20.3,48.3,25.20,60.0,4.90,26/01/2012
TWS-ID/AGOR-4,Agor Waste Stripper 4mm,42,1.5,consumable,Waste-Stripper,96.4,20.3,48.3,20.3,48.3,25.20,60.0,4.90,
TWS-ID/AGOR-3,Agor Waste Stripper 3mm,42,1.5,consumable,Waste-Stripper,96.4,20.3,48.3,20.3,48.3,25.20,60.0,4.90,07/03/2011
TWS-ID/35-4,Waste Stripper - 4mm Width - 35mm Inside Diameter,42,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,4.90,11/11/2025
TWS-ID/35-3,Waste Stripper - 3mm Width - 35mm Inside Diameter,42,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,4.90,09/07/2025
TWS-ID/35,Waste Stripper - 5mm Width - 35mm Inside Diameter,42,6,consumable,Waste-Stripper,85.7,20.3,48.3,20.3,48.3,25.20,60.0,4.90,01/05/2025
TWS-ID/25-4,Waste Stripper - 4mm Width - 25mm Inside Diameter,42,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,4.90,20/09/2024
TWS-ID/25-3,Waste Stripper - 3mm Width - 25mm Inside Diameter,42,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,4.90,09/11/2023
TWS-ID/25,Waste Stripper - 5mm Width - 25mm Inside Diameter,42,5,consumable,Waste-Stripper,88.1,20.3,48.3,20.3,48.3,25.20,60.0,4.90,21/08/2023
TRI-WEB-05,Web Spine & Hinge Fixed at 6mm,2996.4,358.68,tool,Web-Tool,88.0,2050,68.4,2341,78.1,2050.00,68.4,0.00,20/12/2017
TRI-WEB-04,Muller Web Press Tri-Creaser,1436.4,0,tool,Web-Tool,,1264,88.0,1264,88.0,1264.00,88.0,0.00,
TRI-WEB-03,100mm O/D Web Creaser,1316.4,154.65,tool,Web-Tool,88.3,1018,77.3,1081,82.1,1018.00,77.3,0.00,08/08/2014
TRI-WEB-02,Web Tri-Creaser - Double Floating Unit,1316.4,333.82,tool,Web-Tool,74.6,1018,77.3,1081,82.1,1018.00,77.3,0.00,15/07/2025
TRI-WEB-01,Web Tri-Creaser - Single Bearing Unit,1316.4,298.45,tool,Web-Tool,77.3,1018,77.3,1081,82.1,1018.00,77.3,0.00,29/03/2019
TC-STA-SM/35-FP,DISCONTINUED - Heidelberg Channel Score 35mm,656.4,52.18,consumable,,92.1,350,53.3,350,53.3,393.84,60.0,43.84,03/09/2008
TC-DIG-RO/20-FP,DISCONTINUED Rollem De-lux Tri-Creaser,656.4,100,consumable,,84.8,418,63.7,418,63.7,418.00,63.7,0.00,06/10/2014
TC-DEL-ZA/40-FP,Tri-Creaser Easy Fit to fit Zander 40mm shafts,1096.7,150,consumable,NEGLECTED,86.3,478,43.6,530,48.3,658.02,60.0,180.02,
TC-DEL-ST/50-FP,OBSELETE,878.4,11.4,tool,Deluxe Tri-Creaser,98.7,478,54.4,488,55.6,527.04,60.0,49.04,29/11/2007
TC-DEL-ST/25-FP,"Stahl/Heidleberg, GUK De-lux Tri-Creaser-25mm I/D",878.4,127.08,tool,Deluxe Tri-Creaser,85.5,418,47.6,418,47.6,527.04,60.0,109.04,21/12/2023
TC-DEL-SM/35-FP,Stahl/MBO De-lux Tri-Creaser - 35mm I/D,878.4,117.13,tool,Deluxe Tri-Creaser,86.7,418,47.6,418,47.6,527.04,60.0,109.04,20/06/2024
TC-DEL-SH/65-FP,DISCONTINUED  -Shoei De-lux Tri-Creaser - 35mm I/D0-65mm O/D,878.4,100,tool,Deluxe Tri-Creaser,88.6,418,47.6,418,47.6,527.04,60.0,109.04,09/11/2006
TC-DEL-SH/55-FP,DISCONTINUED - Shoei De-lux Tri-Creaser - 35mm I/D 55mm O/D,878.4,65.98,tool,Deluxe Tri-Creaser,92.5,418,47.6,418,47.6,527.04,60.0,109.04,28/11/2018
TC-DEL-MG/15-FP,DISCONTINUED  -  Morgana De-lux Tri-Creaser - 15mm I/D,626.4,96.39,tool,Deluxe Tri-Creaser,84.6,418,66.7,418,66.7,418.00,66.7,0.00,11/06/2010
TC-DEL-MF/60-FP,Tri-Creaser Easy Fit to fit MBO 60mm shafts,1096.7,92.14,tool,Easy-Fit Tri-Creaser,91.6,478,43.6,530,48.3,658.02,60.0,180.02,21/02/2020
TC-DEL-MF/30-FP-2,MBO De-lux Tri-Creaser - 30mm I/D with 49.95mm O/D,878.4,76.09,tool,Deluxe Tri-Creaser,91.3,418,47.6,418,47.6,527.04,60.0,109.04,21/12/2023
TC-DEL-HH/30-FP,DISCONTINUED - H&H De-lux Tri-Creaser - 30mm I/D,878.4,56.56,tool,Deluxe Tri-Creaser,93.6,418,47.6,418,47.6,527.04,60.0,109.04,10/02/2010
TC-DEL-GU/35-FP,DISCONTINUED -GUK De-lux Tri-Creaser - 35mm I/D & 59.4mm O/D,878.4,90,tool,Deluxe Tri-Creaser,89.8,418,47.6,418,47.6,527.04,60.0,109.04,30/04/2013
TC-DEL-GA/01-FP,"Tri-Creaser Easy Fit to fit Ga-Vehren 25.41mm or 1"" shafts",1096.7,89.98,tool,Easy-Fit Tri-Creaser,91.8,478,43.6,530,48.3,658.02,60.0,180.02,21/01/2022
TC-DEL-FI/64-FP,Tri-Creaser Easy Fit to fit Fidia 64mm shafts,1096.7,207.47,tool,Easy-Fit Tri-Creaser,81.1,478,43.6,530,48.3,658.02,60.0,180.02,05/06/2015
TC-DEL-FI/40-FP,Tri-Creaser Easy Fit to fit Fidia 40mm shafts,1096.7,106.58,tool,Easy-Fit Tri-Creaser,90.3,478,43.6,530,48.3,658.02,60.0,180.02,14/05/2025
TC-DEL-BO/35-FP,Bonelli De-lux Tri-Creaser - 30mm I/D,878.4,120,tool,Deluxe Tri-Creaser,86.3,418,47.6,418,47.6,527.04,60.0,109.04,03/02/2012
TC-DEL-BF/22-FP,Small Baum De-lux Tri-Creaser - 22mm I/D,878.4,80.03,tool,Deluxe Tri-Creaser,90.9,418,47.6,418,47.6,527.04,60.0,109.04,05/02/2015
SP-SHC/35-RD,35/36mm Spine-Hinge Creaser Red Spacer Sets,40,12,consumable,Spacer,70.0,19.57,48.9,19.57,48.9,24.00,60.0,4.43,23/05/2007
SP-MT/SH-55-0.8,Shoei 55mm Multi-Tool Spacer 0.8mm Thick,19.16,2.5,consumable,Spacer,87.0,19.57,102.1,19.57,102.1,19.57,102.1,0.00,21/04/2011
SP-MT/35-6,Multi-Tool Spacer - 6mm Width - Stahl & MBO 35mm Shaft,19.16,4.81,consumable,Spacer,74.9,19.57,102.1,19.57,102.1,19.57,102.1,0.00,22/12/2016
SP-MT/35-5,Multi-Tool Spacer - 5mm Width - Stahl & MBO 35mm Shaft,19.16,4.63,consumable,Spacer,75.8,19.57,102.1,19.57,102.1,19.57,102.1,0.00,23/11/2022
SP-MT/35-4,Multi-Tool Spacer - 4mm Width - Stahl & MBO 35mm Shaft,19.16,4.53,consumable,Spacer,76.4,19.57,102.1,19.57,102.1,19.57,102.1,0.00,22/12/2016
SP-MT/35-3,Multi-Tool Spacer - 3mm Width - Stahl & MBO 35mm Shaft,19.16,4.33,consumable,Spacer,77.4,19.57,102.1,19.57,102.1,19.57,102.1,0.00,04/12/2018
SP-MT/35-2,Multi-Tool Spacer - 2mm Width - Stahl & MBO 35mm Shaft,19.16,3.34,consumable,Spacer,82.6,19.57,102.1,19.57,102.1,19.57,102.1,0.00,21/10/2019
SP-MT/35-1,Multi-Tool Spacer - 1mm Width - Stahl & MBO 35mm Shaft,19.16,3.31,consumable,Spacer,82.7,19.57,102.1,19.57,102.1,19.57,102.1,0.00,21/08/2023
SP-MT/30-6,Multi-Tool Spacer - 6mm Width - MBO 30mm Shaft,19.16,0,consumable,Spacer,,19.57,102.1,19.57,102.1,19.57,102.1,0.00,20/12/2018
SP-MT/30-5,Multi-Tool Spacer - 5mm Width - MBO 30mm Shaft,19.16,0,consumable,Spacer,,19.57,102.1,19.57,102.1,19.57,102.1,0.00,21/03/2025
