Product Code,Description,Original Sales Price,New Sales Price,Difference,Cost Price,Type,Category,Margin %,Gina Pricing,Gina %,Uwe Pricing,Uwe %,New Distributor Price,New Distributor Price %,Last Order Date
Z-TUBE-63,Discontinued,0,0,,1.7,consumable,NEGLECTED,,,,,,,,
Z-TUBE-01,Cardboard Post Tubes 890mm (Ambassador),0,0,,0.8,consumable,NEGLECTED,,,,,,,,
Z-THERMARK-SPRAY,Thermark Spray - Black,0,0,,100,consumable,NEGLECTED,,,,,,,,
Z-TAPE-TECH,Technifold Packing Tape - PTD Vinyl Tape 50x66 Blue on White,0,0,,6.01,consumable,NEGLECTED,,,,,,,,
Z-TAPE-MAT/STRIPS,Matrix Strips,0,0,,0,consumable,NEGLECTED,,,,,,,,
Z-TAPE-FRAGILE,Fragile Packing Tape - FragilePolypropTape 50x66 L/N (36),0,0,,1.1,consumable,NEGLECTED,,,,,,,,
Z-TAPE-CLEAR,Clear Packing Tape Vibac 400 - (36 per box),0,0,,0.73,consumable,NEGLECTED,,,,,,,,
Z-TAPE-BROWN,Brown Packing Tape - Vibac 831 (36 p/box),0,0,,1,consumable,NEGLECTED,,,,,,,,
Z-TAPE-ADH/8X50,8mm x 50m Self-Adhesive Tape for Creasing Matrix,12,13.53,1.53,0.93,consumable,,92.3,8.12,67.7,8.12,67.7,8.12,60.0,29/08/2024
Z-TAPE-ADH/4X50,4mm x 50m Self-Adhesive Tape for Creasing Matrix,12,13.53,1.53,0.48,consumable,,96.0,8.12,67.7,8.12,67.7,8.12,60.0,28/07/2025
Z-SHRINK-WRAP,Shrink Wrap Roll 20 micron 300m,0,0,,5.8,consumable,,,,,,,,,05/06/2017
Z-SCRIPTOR-SPRAY,Scriptor Spray - Laser Marking Additive - Black,0,0,,54,consumable,NEGLECTED,,,,,,,,
Z-S-FEDEX,Small Pak Fedex Bags - UK only deliveries,0,0,,0,consumable,NEGLECTED,,,,,,,,
Z-POLY/FILL,Polystyrene Loosefill Chips,0,0,,0,consumable,NEGLECTED,,,,,,,,
Z-MBG,Polythene Mailing Bag 320 x 440mm,0,0,,0,consumable,NEGLECTED,,,,,,,,
Z-M-FEDEX,Medium Pak Fedex Bags - UK only deliveries,0,0,,0,consumable,NEGLECTED,,,,,,,,
Z-LID-63,Lid to suit 63 ID tube,0,0,,0.06,consumable,NEGLECTED,,,,,,,,
Z-LID-50,Lid to suit 50mm ID tube,0,0,,0.09,consumable,NEGLECTED,,,,,,,,
Z-L-FEDEX,Large Pak Fedex Bags - UK only deliveries,0,0,,0,consumable,NEGLECTED,,,,,,,,
Z-JIFFY-XM,Extra Medium Bubble Bag 270 x 360mm White (Size H5),0,0,,0.21,consumable,NEGLECTED,,,,,,,,
Z-JIFFY-XL,Extra Large Bubble Bag 340 x 445mm White (Size 7),0,0,,0.35,consumable,NEGLECTED,,,,,,,,
Z-JIFFY-S,Small Bubble Bag 170 x 245mm (Size 1),0,0,,0.07,consumable,,,,,,,,,19/11/2008
Z-JIFFY-M,Medium Bubble Bag 240 x 320mm White (Size 4),0,0,,0.17,consumable,NEGLECTED,,,,,,,,
Z-JIFFY-L,Large Bubble Bag 290 x 445mm White (Size 6),0,0,,0.31,consumable,NEGLECTED,,,,,,,,
Z-GRIP/9X12.75,Grip Seal bag 9X12.5,0,0,,0.04,consumable,NEGLECTED,,,,,,,,
Z-GRIP/7.5X7.5,"Grip Seal Bag 7.5 x 7.5"" (Order in 1000s)",0,0,,0.01,consumable,NEGLECTED,,,,,,,,
Z-GRIP/5X7.5,"Grip Seal Bag 5 x 7.5"" - (Order in 1000's)",0,0,,0.01,consumable,NEGLECTED,,,,,,,,
Z-GRIP/4X5.5-WOP,"Grip Seal Bag 4 x 5.5"" - write on panel - (Order in 1000's)",0,0,,0.01,consumable,NEGLECTED,,,,,,,,
Z-GRIP/3.5X4.5,"Grip Seal Bag 3.5 x 4.5"" - (Order in 1000's)",0,0,,0.01,consumable,NEGLECTED,,,,,,,,
Z-GRIP/2.25X3,"Grip Seal Bag 2.25x3"" (Order in 1000's)",0,0,,0.01,consumable,NEGLECTED,,,,,,,,
Z-DVD-CREASING,Creasing Animation DVD,0,0,,0,consumable,,,,,,,,,13/03/2009
Z-CERMARK-SPRAY,Cermark Spray 340g,0,0,,88,consumable,NEGLECTED,,,,,,,,
Z-BUBBLE-WRAP,Bubblefilm Roll 750mm x 75m,0,0,,10,consumable,NEGLECTED,,,,,,,,
Z-BOX/FOAM,Foam for Tnf Mould packaging Box,0,0,,1.02,consumable,NEGLECTED,,,,,,,,
Z-BOX,Tec-ni-Fold Mould Packaging Box,0,0,,1.42,consumable,NEGLECTED,,,,,,,,
Z-9BOX,Double Wall Boxes 400 x 300 x 280mm,0,0,,0.85,consumable,NEGLECTED,,,,,,,,
Z-6BOX,200 x 180 x 430mm Packing Box,0,0,,1.75,consumable,NEGLECTED,,,,,,,,
Z-5BOX,356 x 222 x 165mm Packing Box,0,0,,1.21,consumable,NEGLECTED,,,,,,,,
Z-500G-RM/SD,500g Royal Mail Silver Bag,0,0,,5.05,consumable,NEGLECTED,,,,,,,,
Z-4BOX,200 x 180 x 290mm Packing Box,0,0,,1.06,consumable,NEGLECTED,,,,,,,,
Z-2KG-RM/SD,2kg Royal Mail Silver Bag,0,0,,8.25,consumable,NEGLECTED,,,,,,,,
Z-2BOX,200 x 180 x 160mm Packing Box,0,0,,1.55,consumable,NEGLECTED,,,,,,,,
