Action Required,Product Code,Description,New Sales Price,Cost Price,Full Price Margin %,, ,New Distributor Price,Cost Price ,Distributor Margin %,  ,   ,Type,Category,    ,Distributor %
NEEDS PRICING,CSM/BELT-30X2-6,CSM - Rubber Belt 30x2-650 A/F and Q/F,158.12,65.34,58.7,,,,65.34,,,,consumable,Belt,,
,MOULD-32,Blade Seal,21,1.07,94.4,,,11.4,1.07,90.6,,,consumable,Blade Seal,,60
,MOULD-10A,25/30mm Thin Gripper Band/Blade Seal - 40mm O/D - Light Bake,21,0.97,94.9,,,11.4,0.97,91.5,,,consumable,Blade Seal,,60
,CP-HO/BQ500,CP Applicator to fit Horizon BQ500,1436.4,77.49,93.5,,,861.84,77.49,,,,tool,CP Applicator,,
,CP-AP-ST/25-FP,CP-Applicator to fit Stahl/Heidelberg 25mm shafts,1436.4,651.08,54.7,,,861.84,651.08,24.5,,,tool,CP Applicator,,60
,CP-AP-SM/35-FP-GUK,CP-Applicator to fit GUK 35mm shafts,1436.4,193.67,86.5,,,861.84,193.67,77.5,,,tool,CP Applicator,,60
,CP-AP-SM/35-FP,CP-Applicator to fit Stahl/Heidelberg & MBO 35mm shafts,1436.4,425.67,70.4,,,861.84,425.67,50.6,,,tool,CP Applicator,,60
,CP-AP-QC/36-FP,CP-Applicator to fit Agor & Multigraf 36mm shafts,1436.4,182.51,87.3,,,861.84,182.51,78.8,,,tool,CP Applicator,,60
,CP-AP-MF/40-FP,CP-Applicator to fit MBO 40mm shafts,1436.4,620.59,56.8,,,861.84,620.59,28,,,tool,CP Applicator,,60
,CP-AP-MF/30-FP,CP-Applicator to fit MBO & Horizon 30mm shafts,1436.4,499.38,65.2,,,861.84,499.38,42.1,,,tool,CP Applicator,,60
,CP-AP-HO/20-FP,CP-Applicator to fit Horizon 20mm shafts,1436.4,272.11,81.1,,,861.84,272.11,68.4,,,tool,CP Applicator,,60
,CP-AP-HH/35-FP,CP-Applicator to fit Herzog and Heymann 35mm shafts,1436.4,559.7,61,,,861.84,559.7,35.1,,,tool,CP Applicator,,60
,CP-AP-BF/28-FP,Large Baum 28mm CP-Applicator,1436.4,884.97,38.4,,,861.84,884.97,-2.7,,,tool,CP Applicator,,60
,CP-AP-BF/22-FP,CP Applicator Small Baum 22mm,1436.4,554.44,61.4,,,861.84,554.44,35.7,,,tool,CP Applicator,,60
