table_schema,table_name,column_name,foreign_table_name,foreign_column_name,constraint_name,update_rule,delete_rule
public,activity_log,user_id,users,user_id,activity_log_user_id_fkey,NO ACTION,NO ACTION
public,company_consumables,consumable_code,products,product_code,company_consumables_consumable_code_fkey,NO ACTION,NO ACTION
public,company_consumables,company_id,companies,company_id,company_consumables_company_id_fkey,NO ACTION,CASCADE
public,company_distributor_pricing,company_id,companies,company_id,company_distributor_pricing_company_id_fkey,NO ACTION,CASCADE
public,company_distributor_pricing,product_code,products,product_code,company_distributor_pricing_product_code_fkey,NO ACTION,CASCADE
public,company_machine,company_id,companies,company_id,company_machine_company_id_fkey,NO ACTION,NO ACTION
public,company_machine,machine_id,machines,machine_id,company_machines_machine_id_fkey,NO ACTION,CASCADE
public,company_product_catalog,company_id,companies,company_id,company_product_catalog_company_id_fkey,NO ACTION,CASCADE
public,company_product_catalog,product_code,products,product_code,company_product_catalog_product_code_fkey,NO ACTION,CASCADE
public,company_product_history,product_code,products,product_code,company_product_history_product_code_fkey,NO ACTION,NO ACTION
public,company_product_history,company_id,companies,company_id,company_product_history_company_id_fkey,NO ACTION,CASCADE
public,company_tools,tool_code,products,product_code,company_tool_tool_code_fkey,NO ACTION,CASCADE
public,company_tools,company_id,companies,company_id,company_tool_company_id_fkey,NO ACTION,CASCADE
public,contact_interactions,company_id,companies,company_id,contact_interactions_company_id_fkey,NO ACTION,NO ACTION
public,contact_interactions,contact_id,contacts,contact_id,contact_interactions_contact_id_fkey,NO ACTION,CASCADE
public,contacts,company_id,companies,company_id,contacts_company_id_fkey,NO ACTION,CASCADE
public,customer_pricing_overrides,product_code,products,product_code,customer_pricing_overrides_product_code_fkey,NO ACTION,NO ACTION
public,customer_pricing_overrides,company_id,companies,company_id,customer_pricing_overrides_company_id_fkey,NO ACTION,NO ACTION
public,distributor_order_items,order_id,distributor_orders,order_id,distributor_order_items_order_id_fkey,NO ACTION,CASCADE
public,distributor_orders,company_id,companies,company_id,distributor_orders_company_id_fkey,NO ACTION,NO ACTION
public,distributor_orders,shipping_address_id,shipping_addresses,address_id,distributor_orders_shipping_address_id_fkey,NO ACTION,NO ACTION
public,distributor_orders,user_id,distributor_users,user_id,distributor_orders_user_id_fkey,NO ACTION,NO ACTION
public,distributor_pricing,product_code,products,product_code,distributor_pricing_product_code_fkey,NO ACTION,CASCADE
public,distributor_users,company_id,companies,company_id,distributor_users_company_id_fkey,NO ACTION,CASCADE
public,engagement_events,contact_id,contacts,contact_id,fk_eng_evt_contact,NO ACTION,SET NULL
public,engagement_events,company_id,companies,company_id,fk_eng_evt_company,NO ACTION,CASCADE
public,invoice_items,product_code,products,product_code,invoice_items_product_code_fkey,NO ACTION,NO ACTION
public,invoice_items,invoice_id,invoices,invoice_id,invoice_items_invoice_id_fkey,NO ACTION,CASCADE
public,invoices,company_id,companies,company_id,invoices_company_id_fkey,NO ACTION,NO ACTION
public,invoices,shipping_address_id,shipping_addresses,address_id,invoices_shipping_address_id_fkey,NO ACTION,NO ACTION
public,invoices,contact_id,contacts,contact_id,invoices_contact_id_fkey,NO ACTION,NO ACTION
public,order_items,order_id,orders,order_id,order_items_order_id_fkey,NO ACTION,CASCADE
public,orders,rental_agreement_id,rental_agreements,rental_id,orders_rental_agreement_id_fkey,NO ACTION,SET NULL
public,orders,shipping_address_id,shipping_addresses,address_id,orders_shipping_address_id_fkey,NO ACTION,SET NULL
public,quote_items,quote_id,quotes,quote_id,quote_items_quote_id_fkey,NO ACTION,CASCADE
public,quote_items,product_code,products,product_code,quote_items_product_code_fkey,NO ACTION,RESTRICT
public,quote_notes,quote_id,quotes,quote_id,quote_notes_quote_id_fkey,NO ACTION,CASCADE
public,quote_requests,company_id,companies,company_id,quote_requests_company_id_fkey,NO ACTION,NO ACTION
public,quote_requests,contact_id,contacts,contact_id,quote_requests_contact_id_fkey,NO ACTION,NO ACTION
public,quotes,invoice_id,invoices,invoice_id,quotes_invoice_id_fkey,NO ACTION,SET NULL
public,quotes,company_id,companies,company_id,quotes_company_id_fkey,NO ACTION,CASCADE
public,quotes,contact_id,contacts,contact_id,quotes_contact_id_fkey,NO ACTION,CASCADE
public,rental_agreements,company_id,companies,company_id,rental_agreements_company_id_fkey,NO ACTION,RESTRICT
public,rental_agreements,contact_id,contacts,contact_id,rental_agreements_contact_id_fkey,NO ACTION,SET NULL
public,rental_agreements,product_code,products,product_code,fk_rental_agreements_product,NO ACTION,RESTRICT
public,rental_agreements,contact_id,contacts,contact_id,fk_rental_agreements_contact,NO ACTION,SET NULL
public,rental_agreements,company_id,companies,company_id,fk_rental_agreements_company,NO ACTION,RESTRICT
public,shipping_addresses,company_id,companies,company_id,shipping_addresses_company_id_fkey,NO ACTION,CASCADE
public,shipping_manifests,company_id,companies,company_id,shipping_manifests_company_id_fkey,NO ACTION,NO ACTION
public,shipping_manifests,invoice_id,invoices,invoice_id,shipping_manifests_invoice_id_fkey,NO ACTION,SET NULL
public,subscription_events,subscription_id,subscriptions,subscription_id,subscription_events_subscription_id_fkey,NO ACTION,NO ACTION
public,subscription_tools,tool_code,products,product_code,subscription_tools_tool_code_fkey,NO ACTION,NO ACTION
public,subscription_tools,subscription_id,subscriptions,subscription_id,subscription_tools_subscription_id_fkey,NO ACTION,CASCADE
