table_schema,table_name,column_name,constraint_name
public,activity_log,activity_id,activity_log_pkey
public,brand_media,brand_slug,brand_media_pkey
public,companies,company_id,companies_pkey
public,company_consumables,company_id,company_consumables_pkey
public,company_consumables,consumable_code,company_consumables_pkey
public,company_distributor_pricing,pricing_id,company_distributor_pricing_pkey
public,company_machine,id,company_machines_pkey
public,company_product_catalog,catalog_id,company_product_catalog_pkey
public,company_product_history,company_id,company_product_history_pkey
public,company_product_history,product_code,company_product_history_pkey
public,company_tools,company_id,company_tool_pkey
public,company_tools,tool_code,company_tool_pkey
public,contact_interactions,id,contact_interactions_pkey
public,contacts,contact_id,contacts_pkey
public,customer_pricing_overrides,override_id,customer_pricing_overrides_pkey
public,distributor_order_items,item_id,distributor_order_items_pkey
public,distributor_orders,order_id,distributor_orders_pkey
public,distributor_pricing,pricing_id,distributor_pricing_pkey
public,distributor_users,user_id,distributor_users_pkey
public,engagement_events,event_id,engagement_events_pkey
public,invoice_items,invoice_id,invoice_items_pkey
public,invoice_items,product_code,invoice_items_pkey
public,invoice_items,line_number,invoice_items_pkey
public,invoices,invoice_id,invoices_pkey
public,machines,machine_id,machines_pkey
public,notification_preferences,user_id,notification_preferences_pkey
public,order_items,order_id,order_items_pkey
public,order_items,product_code,order_items_pkey
public,orders,order_id,orders_pkey
public,outbox,job_id,outbox_pkey
public,premium_pricing_ladder,tier_id,premium_pricing_ladder_pkey
public,products,product_code,products_pkey
public,quote_items,quote_id,quote_items_pkey
public,quote_items,product_code,quote_items_pkey
public,quote_items,line_number,quote_items_pkey
public,quote_notes,note_id,quote_notes_pkey
public,quote_requests,quote_request_id,quote_requests_pkey
public,quotes,quote_id,quotes_pkey
public,rental_agreements,rental_id,rental_agreements_pkey
public,shipping_addresses,address_id,shipping_addresses_pkey
public,shipping_manifests,manifest_id,shipping_manifests_pkey
public,shipping_rates,rate_id,shipping_rates_pkey
public,site_branding,brand_key,site_branding_pkey
public,standard_pricing_ladder,tier_id,standard_pricing_ladder_pkey
public,subscription_events,event_id,subscription_events_pkey
public,subscription_tools,subscription_id,subscription_tools_pkey
public,subscription_tools,tool_code,subscription_tools_pkey
public,subscription_tools,added_at,subscription_tools_pkey
public,subscriptions,subscription_id,subscriptions_pkey
public,tasks,task_id,tasks_pkey
public,tool_consumable_map,tool_code,tool_consumable_map_pkey
public,tool_consumable_map,consumable_code,tool_consumable_map_pkey
public,tool_pricing_ladder,id,tool_pricing_ladder_pkey
public,trial_intents,id,trial_intents_pkey
public,users,user_id,users_pkey
