schemaname,tablename,rls_enabled
public,activity_log,TRUE
public,brand_media,FALSE
public,companies,FALSE
public,company_consumables,FALSE
public,company_distributor_pricing,FALSE
public,company_machine,FALSE
public,company_product_catalog,TRUE
public,company_product_history,FALSE
public,company_tools,FALSE
public,contact_interactions,FALSE
public,contacts,TRUE
public,customer_pricing_overrides,FALSE
public,distributor_order_items,FALSE
public,distributor_orders,FALSE
public,distributor_pricing,TRUE
public,distributor_users,FALSE
public,engagement_events,TRUE
public,invoice_items,FALSE
public,invoices,TRUE
public,machines,FALSE
public,notification_preferences,FALSE
public,order_items,FALSE
public,orders,FALSE
public,outbox,FALSE
public,premium_pricing_ladder,FALSE
public,products,FALSE
public,quote_items,FALSE
public,quote_notes,FALSE
public,quote_requests,FALSE
public,quotes,TRUE
public,rental_agreements,FALSE
public,shipping_addresses,FALSE
public,shipping_manifests,TRUE
public,shipping_rates,FALSE
public,site_branding,TRUE
public,standard_pricing_ladder,FALSE
public,subscription_events,TRUE
public,subscription_tools,FALSE
public,subscriptions,TRUE
public,tasks,FALSE
public,tool_consumable_map,FALSE
public,tool_pricing_ladder,FALSE
public,trial_intents,FALSE
public,users,TRUE
