table_schema,table_name,column_name,ordinal_position,column_default,is_nullable,data_type,character_maximum_length,numeric_precision,numeric_scale
public,activity_log,activity_id,1,gen_random_uuid(),NO,uuid,null,null,null
public,activity_log,user_id,2,null,YES,uuid,null,null,null
public,activity_log,user_email,3,null,NO,text,null,null,null
public,activity_log,user_name,4,null,NO,text,null,null,null
public,activity_log,action_type,5,null,NO,text,null,null,null
public,activity_log,entity_type,6,null,YES,text,null,null,null
public,activity_log,entity_id,7,null,YES,text,null,null,null
public,activity_log,description,8,null,YES,text,null,null,null
public,activity_log,metadata,9,'{}'::jsonb,YES,jsonb,null,null,null
public,activity_log,ip_address,10,null,YES,text,null,null,null
public,activity_log,user_agent,11,null,YES,text,null,null,null
public,activity_log,created_at,12,now(),NO,timestamp with time zone,null,null,null
public,brand_media,brand_slug,1,null,NO,text,null,null,null
public,brand_media,brand_name,2,null,NO,text,null,null,null
public,brand_media,logo_url,3,null,YES,text,null,null,null
public,brand_media,hero_url,4,null,YES,text,null,null,null
public,catalog_products,product_code,1,null,YES,text,null,null,null
public,catalog_products,description,2,null,YES,text,null,null,null
public,catalog_products,category,3,null,YES,text,null,null,null
public,companies,company_id,1,null,NO,text,null,null,null
public,companies,company_name,2,null,NO,text,null,null,null
public,companies,website,3,null,YES,text,null,null,null
public,companies,country,4,null,YES,text,null,null,null
public,companies,type,5,'customer'::text,YES,text,null,null,null
public,companies,source,6,'sage_import'::text,YES,text,null,null,null
public,companies,account_opened_at,7,null,YES,date,null,null,null
public,companies,first_invoice_at,8,null,YES,date,null,null,null
public,companies,last_invoice_at,9,null,YES,date,null,null,null
public,companies,vat_number,10,null,YES,text,null,null,null
public,companies,eori_number,11,null,YES,text,null,null,null
public,companies,company_reg_number,12,null,YES,text,null,null,null
public,companies,created_at,13,now(),YES,timestamp with time zone,null,null,null
public,companies,updated_at,14,now(),YES,timestamp with time zone,null,null,null
public,companies,category,17,null,YES,text,null,null,null
public,companies,stripe_customer_id,18,null,YES,text,null,null,null
public,companies,zoho_account_id,19,null,YES,text,null,null,null
public,companies,account_owner,20,null,YES,text,null,null,null
public,companies,portal_payload,21,null,YES,jsonb,null,null,null
public,companies,domain,25,null,YES,text,null,null,null
public,companies,billing_address_line_1,26,null,YES,text,null,null,null
public,companies,billing_address_line_2,27,null,YES,text,null,null,null
public,companies,billing_city,28,null,YES,text,null,null,null
public,companies,billing_state_province,29,null,YES,text,null,null,null
public,companies,billing_postal_code,30,null,YES,text,null,null,null
public,companies,billing_country,31,null,YES,text,null,null,null
public,companies,status,32,'active'::text,YES,text,null,null,null
public,companies,distributor_email,33,null,YES,text,null,null,null
public,companies,distributor_password,34,null,YES,text,null,null,null
public,companies,pricing_tier,35,'standard'::text,YES,text,null,null,null
public,company_consumables,company_id,1,null,NO,text,null,null,null
public,company_consumables,consumable_code,2,null,NO,text,null,null,null
public,company_consumables,first_ordered_at,3,null,NO,date,null,null,null
public,company_consumables,last_ordered_at,4,null,NO,date,null,null,null
public,company_consumables,total_orders,5,1,NO,integer,null,32,0
public,company_consumables,total_quantity,6,null,NO,integer,null,32,0
public,company_consumables,last_order_amount,7,null,YES,numeric,null,10,2
public,company_consumables,last_order_quantity,8,null,YES,integer,null,32,0
public,company_consumables,last_invoice_id,9,null,YES,text,null,null,null
public,company_consumables_view,company_id,1,null,YES,text,null,null,null
