event_object_schema,event_object_table,trigger_name,event_manipulation,action_timing,action_statement
public,company_product_history,trigger_sync_history_to_consumables,UPDATE,AFTER,EXECUTE FUNCTION sync_product_history_to_consumables()
public,company_product_history,trigger_sync_history_to_consumables,INSERT,AFTER,EXECUTE FUNCTION sync_product_history_to_consumables()
public,company_product_history,trigger_sync_history_to_tools,INSERT,AFTER,EXECUTE FUNCTION sync_product_history_to_tools()
public,company_product_history,trigger_sync_history_to_tools,UPDATE,AFTER,EXECUTE FUNCTION sync_product_history_to_tools()
public,engagement_events,trg_engagement_events_fill_company,INSERT,BEFORE,EXECUTE FUNCTION set_engagement_company_from_contact()
public,engagement_events,trg_engagement_events_fill_company,UPDATE,BEFORE,EXECUTE FUNCTION set_engagement_company_from_contact()
public,invoices,trigger_invoices_updated_at,UPDATE,BEFORE,EXECUTE FUNCTION set_updated_at()
public,invoices,trigger_sync_invoice_to_history,INSERT,AFTER,EXECUTE FUNCTION sync_invoice_to_product_history()
public,invoices,trigger_sync_invoice_to_history,UPDATE,AFTER,EXECUTE FUNCTION sync_invoice_to_product_history()
public,notification_preferences,update_notification_preferences_updated_at,UPDATE,BEFORE,EXECUTE FUNCTION update_updated_at_column()
public,orders,trg_orders_updated,UPDATE,BEFORE,EXECUTE FUNCTION set_updated_at()
public,quote_notes,update_quote_notes_updated_at,UPDATE,BEFORE,EXECUTE FUNCTION update_updated_at_column()
public,quote_requests,quote_requests_updated_at,UPDATE,BEFORE,EXECUTE FUNCTION update_quote_requests_updated_at()
public,quotes,quotes_updated_at_trigger,UPDATE,BEFORE,EXECUTE FUNCTION update_quotes_updated_at()
public,rental_agreements,trigger_generate_rental_serial,INSERT,BEFORE,EXECUTE FUNCTION generate_rental_serial_number()
public,rental_agreements,trigger_set_rental_serial,INSERT,BEFORE,EXECUTE FUNCTION set_rental_serial_number()
public,rental_agreements,update_rental_agreements_updated_at,UPDATE,BEFORE,EXECUTE FUNCTION update_updated_at_column()
public,shipping_addresses,update_shipping_addresses_updated_at,UPDATE,BEFORE,EXECUTE FUNCTION update_updated_at_column()
public,tasks,update_tasks_updated_at,UPDATE,BEFORE,EXECUTE FUNCTION update_updated_at_column()
public,users,trigger_update_users_updated_at,UPDATE,BEFORE,EXECUTE FUNCTION update_users_updated_at()
